address,count,symbol
0x10541d774,8327,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10541d820,8226,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x105517569,104,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1056a7ad1,78,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105da8a7c,68,PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x105db3fe0,68,protocol witness for View.body.getter in conformance PiAgentUserMessageContent (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105dadf5c,55,PiAgentUserMessageContent.images.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1715)
0x105da9194,55,closure #1 in PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x105bb0980,45,protocol witness for Decodable.init(from:) in conformance PiAgentImageAttachment (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105bb044c,43,PiAgentImageAttachment.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10569cc5c,42,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4833)
0x10569d0a9,42,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105d8bc7c,41,PiAgentCompactDiffPreview.displayLines.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:872)
0x1056dbe50,40,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x1059b727c,40,@objc DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1055a4b58,39,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1055a2cfc,39,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x105d8bffc,39,closure #1 in closure #1 in PiAgentCompactDiffPreview.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:832)
0x1059b71bc,39,DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:433)
0x10564dc44,38,AppViewModel.piRuntimeSettingsObject() (in Agent Deck.debug.dylib) (AppViewModel.swift:2610)
0x10564c7dc,38,AppViewModel.readPiRuntimeDefaults() (in Agent Deck.debug.dylib) (AppViewModel.swift:2567)
0x105649df4,38,AppViewModel.defaultPiAgentModel() (in Agent Deck.debug.dylib) (AppViewModel.swift:2539)
0x105da9774,37,PiAgentUserMessageContent.imageAttachments.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1582)
0x105c15c98,36,closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:340)
0x105c2fb79,36,partial apply for closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105c16288,35,static PiAgentSessionStore.readParentTranscript(from:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1159)
0x105c37478,33,PersistedTranscript.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105c3773c,33,protocol witness for Decodable.init(from:) in conformance PersistedTranscript (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105bd2778,32,protocol witness for Decodable.init(from:) in conformance PiAgentTranscriptEntry (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1055fae24,30,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3308)
0x1056d34f8,29,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x10570bc44,29,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105e73704,29,protocol witness for View.body.getter in conformance PiAgentComposerPanel (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105d8dba0,29,PiAgentCompactDiffPreview.meaningfulLines.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:865)
0x105551845,26,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105daaadc,25,closure #1 in closure #1 in PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1563)
0x1059b02d0,22,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10566a78c,22,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4222)
0x10566042c,21,AppViewModel.allDisplayAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3300)
0x105db06a4,21,closure #3 in PiAgentUserMessageContent.legacyImageNames.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1605)
0x105dd28d0,21,partial apply for closure #3 in PiAgentUserMessageContent.legacyImageNames.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105da9aac,21,PiAgentUserMessageContent.legacyImageNames.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1604)
0x105663b0c,20,AppViewModel.selectedAgent.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3333)
0x10599d250,20,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x10564eaa4,20,AppViewModel.piRuntimeSettingsModificationDate() (in Agent Deck.debug.dylib) (AppViewModel.swift:2631)
0x105601a78,20,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:548)
0x1056d9494,19,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:80)
0x105bd22a4,18,PiAgentTranscriptEntry.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1056d9400,18,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:78)
0x10564eaf4,18,AppViewModel.piRuntimeSettingsModificationDate() (in Agent Deck.debug.dylib) (AppViewModel.swift:2631)
0x105e9c1e8,18,partial apply for thunk for @callee_guaranteed (@in_guaranteed PiAgentSessionRecord) -> (@owned [String]) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10546d418,18,Optional.map<A, B>(_:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105e6871c,18,PiAgentComposerPanel.body.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:1703)
0x105e6a45c,17,implicit closure #12 in implicit closure #11 in PiAgentComposerPanel.body.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:0)
0x105e5ab78,17,thunk for @callee_guaranteed (@in_guaranteed PiAgentSessionRecord) -> (@owned [String]) with global actor constraint MainActor (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105e5abbc,17,thunk for @callee_guaranteed (@in_guaranteed PiAgentSessionRecord) -> (@owned [String]) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1055a3df4,17,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x1056d46e0,16,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:167)
0x10599eb48,16,closure #1 in PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:136)
0x105e6a510,16,PiAgentComposerPanel.supportedThinkingLevels(for:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:1951)
0x10566a9c4,16,AppViewModel.hasSkillWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3576)
0x1056698fc,16,AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3544)
0x1059a306c,15,closure #3 in closure #1 in PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x105b4d72c,15,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105dad0f0,15,PiAgentUserMessageContent.hiddenCount.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1719)
0x10569da20,14,partial apply for closure #1 in AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105d7ebb8,14,PiAgentThreadDiffSummaryView.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:598)
0x105d898d0,14,protocol witness for View.body.getter in conformance PiAgentThreadDiffSummaryView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1059aebd4,13,PiAgentComposerBox.openAIFastModel(for:) (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:221)
0x10564e9b8,13,AppViewModel.piRuntimeSettingsURL.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:2635)
0x10566bf3c,13,closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3607)
0x10569db5c,13,partial apply for closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10566aba4,13,AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3606)
0x105e1edb5,13,partial apply for closure #1 in PiAgentTranscriptRenderCache.scheduleUpdate(sessionID:revision:rawEntries:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1055fe034,13,thunk for @escaping @callee_guaranteed @Sendable () -> () (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1056e479c,12,ContentView.commandContextUpdateToken.getter (in Agent Deck.debug.dylib) (ContentView.swift:602)
0x105681efc,12,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4207)
0x105d60b28,12,flush #1 () in static PiAgentTranscriptThread.make(from:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:22)
0x105e1df0c,12,PiAgentTranscriptRenderCache.publish(_:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:112)
0x105e1eabc,12,closure #1 in PiAgentTranscriptRenderCache.scheduleUpdate(sessionID:revision:rawEntries:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:102)
