address,count,symbol
0x104d05774,6157,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x104d05820,6087,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x105694d24,72,PiAgentUserMessageContent.parsedContent.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1588)
0x105690e30,72,PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x10569cf8c,72,protocol witness for View.body.getter in conformance PiAgentUserMessageContent (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x104dff569,69,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105694e84,61,static PiAgentUserMessageContent.parsedContent(for:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1599)
0x104f8fad1,55,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105691548,45,closure #1 in PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x104f84c5c,37,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4833)
0x104f850a9,37,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105696064,35,static PiAgentUserMessageContent.parsedContentCacheKey(for:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1645)
0x104e8acfc,34,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x104e8cb58,33,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x104fc3e50,33,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x104f35c44,30,AppViewModel.piRuntimeSettingsObject() (in Agent Deck.debug.dylib) (AppViewModel.swift:2610)
0x104f347dc,30,AppViewModel.readPiRuntimeDefaults() (in Agent Deck.debug.dylib) (AppViewModel.swift:2567)
0x104f31df4,30,AppViewModel.defaultPiAgentModel() (in Agent Deck.debug.dylib) (AppViewModel.swift:2539)
0x104fbb4f8,28,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x104ff3c44,28,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105696210,26,static PiAgentUserMessageContent.parsedContentCacheKey(for:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1645)
0x1052982d0,24,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105691748,24,PiAgentUserMessageContent.messageText.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1591)
0x105673c7c,24,PiAgentCompactDiffPreview.displayLines.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:872)
0x105673ffc,24,closure #1 in closure #1 in PiAgentCompactDiffPreview.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:832)
0x104e8bdf4,23,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x105285250,23,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x104ee2e24,23,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3308)
0x10529f1bc,22,DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:433)
0x10529f27c,22,@objc DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10543572c,21,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
