address,count,symbol
0x10500d774,8311,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10500d820,8246,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x1057c89d4,973,protocol witness for Decodable.init(from:) in conformance JSONValue (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1057c540c,654,JSONValue.init(from:) (in Agent Deck.debug.dylib) (PiAgentSessionModels.swift:1156)
0x1052a1e88,389,thunk for @escaping @callee_guaranteed @Sendable (@guaranteed NSFileHandle) -> () (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10567f6b4,381,closure #1 in LineStreamReader.start() (in Agent Deck.debug.dylib) (PiAgentProcess.swift:285)
0x10567ff64,296,LineStreamReader.append(_:) (in Agent Deck.debug.dylib) (PiAgentProcess.swift:333)
0x10503d114,295,Collection.map<A, B>(_:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105ad0f74,293,closure #1 in PiRPCClient.init(cwd:sessionFile:provider:model:modelArgument:thinkingLevel:extraArguments:environment:onEvent:onStderr:onTermination:) (in Agent Deck.debug.dylib) (PiRPCClient.swift:46)
0x105ad10e4,288,closure #1 in closure #1 in PiRPCClient.init(cwd:sessionFile:provider:model:modelArgument:thinkingLevel:extraArguments:environment:onEvent:onStderr:onTermination:) (in Agent Deck.debug.dylib) (PiRPCClient.swift:48)
0x1057c4eec,269,protocol witness for Decodable.init(from:) in conformance PiAgentRPCEvent (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1057c52ec,165,JSONValue.init(from:) (in Agent Deck.debug.dylib) (PiAgentSessionModels.swift:1153)
0x1057c3bb8,127,PiAgentRPCEvent.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1057c3cd8,127,PiAgentRPCEvent.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105107569,76,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1057c5068,55,JSONValue.init(from:) (in Agent Deck.debug.dylib) (PiAgentSessionModels.swift:1147)
0x10528bdf0,48,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4812)
0x10528c23d,48,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105296d81,48,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
