address,count,symbol
0x10703d774,2832,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10703d820,2827,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x107137569,93,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1072c96b9,78,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1072be670,64,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x1072beabd,64,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1071c2cfc,62,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x1071c4b58,60,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1072fda38,44,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x1071c3df4,32,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x1079caa18,32,PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x1079d6a48,32,protocol witness for View.body.getter in conformance PiAgentUserMessageContent (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1079ce90c,31,PiAgentUserMessageContent.parsedContent.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1588)
0x1072f50e0,29,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x10732d82c,29,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10776f314,26,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1072fafe8,25,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:78)
