address,count,symbol
0x1033b9774,2584,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1033b9820,2582,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x1036a94b8,113,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103670ba8,112,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x1034b3569,74,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1036719b0,72,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:83)
0x103645181,55,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1035968dc,42,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3319)
0x10359d530,40,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:549)
0x103607080,39,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4233)
0x10363a585,39,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103540b58,38,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10353ecfc,38,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x10363a138,38,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x103676be8,37,ContentView.sidebarWarningSnapshot.getter (in Agent Deck.debug.dylib) (ContentView.swift:75)
0x1036061f0,34,AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3555)
0x10363aefc,31,partial apply for closure #1 in AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103676c78,29,ContentView.sidebarWarningSnapshot.getter (in Agent Deck.debug.dylib) (ContentView.swift:76)
0x1035fcd20,29,AppViewModel.allDisplayAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3311)
0x10360631c,28,closure #1 in AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3555)
0x10361e7f0,26,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x1036072b8,26,AppViewModel.hasSkillWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3587)
0x103ae9988,24,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10353fdf4,24,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x103600400,23,AppViewModel.selectedAgent.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3344)
0x103607498,22,AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3617)
0x103606824,22,AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3581)
0x103608830,21,closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3618)
0x10363b038,21,partial apply for closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103ddbcfc,21,closure #1 in closure #1 in closure #3 in closure #1 in PiAgentScreen.sessionsColumn.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:619)
0x103606a14,21,closure #1 in AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3582)
0x10363af4c,21,partial apply for closure #1 in AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10356c60c,21,AppViewModel.githubRepositoryChanges.setter (in Agent Deck.debug.dylib) (AppViewModel.swift:0)
0x1035ee76c,21,AppViewModel.syncActiveRepositoryChanges(projectPath:preservingDiffSelection:) (in Agent Deck.debug.dylib) (AppViewModel.swift:2813)
0x1035a73b8,21,AppViewModel.refreshRepositoryChanges(forProjectPath:preservingDiffSelection:force:activeContextIsCurrent:) (in Agent Deck.debug.dylib) (AppViewModel.swift:2766)
0x1035b7630,21,AppViewModel.prepareRepoChangesForSelectedPiAgentSession(force:) (in Agent Deck.debug.dylib) (AppViewModel.swift:2736)
0x103f1d9d0,20,ProjectPreferencesStore.preference(for:) (in Agent Deck.debug.dylib) (ProjectPreferences.swift:192)
0x103dcfc44,20,closure #9 in PiAgentScreen.body.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:408)
0x1034ed845,19,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10394c52c,18,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103d4508c,17,PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x103d510bc,17,protocol witness for View.body.getter in conformance PiAgentUserMessageContent (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103671e58,16,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:162)
0x103bb1ef4,16,closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:340)
0x103bcbdd5,16,partial apply for closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103d48f80,16,PiAgentUserMessageContent.parsedContent.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1588)
0x1036067c4,15,AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3581)
0x103bb24e4,15,static PiAgentSessionStore.readParentTranscript(from:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1159)
0x103bcdfc0,15,closure #1 in PiAgentSessionStore.saveNowAsync() (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1114)
0x103599aec,15,thunk for @escaping @callee_guaranteed @Sendable () -> () (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1039394ac,14,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x103bce44c,14,static PiAgentSessionStore.write(_:to:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1148)
0x10361e9a0,13,closure #1 in AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x10363c330,13,partial apply for closure #1 in AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10361e864,13,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x103b6e9d4,13,protocol witness for Decodable.init(from:) in conformance PiAgentTranscriptEntry (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103bd36d4,13,PersistedTranscript.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103bd3998,13,protocol witness for Decodable.init(from:) in conformance PersistedTranscript (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103d4a3b4,13,static PiAgentUserMessageContent.parsedContentCacheKey(for:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1644)
0x103d490e0,13,static PiAgentUserMessageContent.parsedContent(for:) (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:1599)
0x103f1d9d8,12,ProjectPreferencesStore.preference(for:) (in Agent Deck.debug.dylib) (ProjectPreferences.swift:192)
0x10361e6f8,12,AppViewModel.agent(_:isEnabledFor:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4214)
0x103692f58,12,ContentView.selectedAgentFilePath.getter (in Agent Deck.debug.dylib) (ContentView.swift:863)
0x10393ada4,11,closure #1 in PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:136)
0x103671b7c,11,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:84)
0x103d457a4,11,closure #1 in PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x103ad5c20,10,PiAgentSessionRow.body.getter (in Agent Deck.debug.dylib) (PiAgentSessionListViews.swift:239)
0x1033e9114,10,Collection.map<A, B>(_:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103682b68,10,closure #3 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:162)
0x103d27ed8,10,PiAgentCompactDiffPreview.displayLines.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:872)
0x103682878,9,ContentView.commandContextUpdateToken.getter (in Agent Deck.debug.dylib) (ContentView.swift:611)
0x103600d28,9,AppViewModel.standardizedPath(_:) (in Agent Deck.debug.dylib) (AppViewModel.swift:3979)
0x103b6e500,9,PiAgentTranscriptEntry.init(from:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103d28258,9,closure #1 in closure #1 in PiAgentCompactDiffPreview.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:832)
0x1036015bc,8,closure #2 in AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3351)
0x10363a86c,8,partial apply for closure #2 in AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1035fd554,8,AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3351)
0x103dbb784,8,PiAgentTranscriptRenderCache.publish(_:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:112)
0x103dbae5c,8,PiAgentTranscriptRenderCache.scheduleUpdate(sessionID:revision:rawEntries:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:95)
0x103dcce7c,8,PiAgentScreen.scheduleTranscriptCacheUpdate() (in Agent Deck.debug.dylib) (PiAgentViews.swift:1096)
