address,count,symbol
0x10732d774,3764,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10732d820,3763,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x1075ed500,95,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x107427569,88,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1075e4ba8,65,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x10761d2f4,65,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1075b9181,64,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10750a8dc,62,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3319)
0x10757b080,53,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4233)
0x107511530,52,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:549)
0x1075eaab0,48,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:78)
0x1075ae585,47,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1074b2cfc,46,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x1075ae138,46,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x1074b4b58,45,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1075eab44,44,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:80)
0x10757a1f0,39,AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3555)
