address,count,symbol
0x105825774,1450,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105825820,1446,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x105adcba8,73,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x105b154b8,73,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105add9b0,47,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:83)
0x105aa6138,43,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x105aa6585,43,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10591f569,43,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105ab1181,43,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1059aacfc,41,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x105a028dc,40,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3319)
0x1059acb58,39,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a68d20,29,AppViewModel.allDisplayAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3311)
0x105a73080,27,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4233)
0x105ae2be8,25,ContentView.sidebarWarningSnapshot.getter (in Agent Deck.debug.dylib) (ContentView.swift:75)
0x105a09530,25,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:549)
0x105a6c400,23,AppViewModel.selectedAgent.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3344)
0x105ae2c78,20,ContentView.sidebarWarningSnapshot.getter (in Agent Deck.debug.dylib) (ContentView.swift:76)
0x1059abdf4,18,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x105a721f0,17,AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3555)
0x105a732b8,16,AppViewModel.hasSkillWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3587)
0x105a7231c,16,closure #1 in AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3555)
0x105aa6efc,16,partial apply for closure #1 in AppViewModel.enabledProjects.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a73498,15,AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3617)
0x105a8a864,14,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x105a72824,14,AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3581)
0x105a74830,14,closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3618)
0x105aa7038,14,partial apply for closure #1 in AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105adde58,14,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:162)
0x105822b58,14,__swift_instantiateConcreteTypeFromMangledNameV2 (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105afef58,13,ContentView.selectedAgentFilePath.getter (in Agent Deck.debug.dylib) (ContentView.swift:863)
0x10638abe4,13,ProjectPreferencesStore.preference(for:) (in Agent Deck.debug.dylib) (ProjectPreferences.swift:192)
0x105a8a7f0,13,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x105a72a14,12,closure #1 in AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3582)
0x105aa6f4c,12,partial apply for closure #1 in AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a8a9a0,12,closure #1 in AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x105aa8330,12,partial apply for closure #1 in AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105aa686c,12,partial apply for closure #2 in AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a69554,12,AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3351)
0x105a6cd30,11,AppViewModel.standardizedPath(_:) (in Agent Deck.debug.dylib) (AppViewModel.swift:3979)
0x105a6d5bc,11,closure #2 in AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3351)
0x105a727c4,11,AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3581)
0x105855114,10,Collection.map<A, B>(_:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1058a24b4,10,protocol witness for View.body.getter in conformance AgentDetailView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a6cc38,9,implicit closure #3 in implicit closure #2 in AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:0)
0x105a6ce14,9,thunk for @callee_guaranteed (@guaranteed String) -> (@owned String) with global actor constraint MainActor (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a6ce70,9,thunk for @callee_guaranteed (@guaranteed String) -> (@owned String) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105aa67d0,9,partial apply for thunk for @callee_guaranteed (@guaranteed String) -> (@owned String) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105a69424,9,AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3348)
0x105aee878,9,ContentView.commandContextUpdateToken.getter (in Agent Deck.debug.dylib) (ContentView.swift:611)
0x105a8a6f8,9,AppViewModel.agent(_:isEnabledFor:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4214)
0x10638abdc,8,ProjectPreferencesStore.preference(for:) (in Agent Deck.debug.dylib) (ProjectPreferences.swift:192)
0x105a694a0,8,AppViewModel.catalogOnlyEffectiveAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3349)
0x105aeeb68,7,closure #3 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:162)
0x105a6cd28,7,AppViewModel.standardizedPath(_:) (in Agent Deck.debug.dylib) (AppViewModel.swift:3979)
0x105b8267c,7,AppPage.init(_:subtitle:content:) (in Agent Deck.debug.dylib) (DesignSystem.swift:269)
0x105862ba4,7,AgentDetailView.body.getter (in Agent Deck.debug.dylib) (AgentManagementViews.swift:472)
0x1059ac04c,7,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:130)
0x105a69250,6,AppViewModel.allDisplayAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3315)
0x105da5a48,6,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x105db8ac8,6,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x105ade7d8,6,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:191)
