address,count,symbol
0x107205774,3908,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x107205820,3906,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x1074c5a38,94,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x1072ff569,67,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1073cc6dc,66,AppViewModel.piAgentPendingComposerText.setter (in Agent Deck.debug.dylib) (AppViewModel.swift:0)
0x107403610,66,AppViewModel.consumePendingPiAgentComposerText() (in Agent Deck.debug.dylib) (AppViewModel.swift:1350)
0x107c58fac,66,PiAgentComposerPanel.loadComposerDraft(for:) (in Agent Deck.debug.dylib) (PiAgentViews.swift:1868)
0x107c59d88,66,closure #8 in PiAgentComposerPanel.body.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:1734)
0x1074f582c,64,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1074bd0e0,63,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x1074535b8,59,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4233)
0x1073e2f70,57,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3319)
0x1073e9bc4,56,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:549)
0x1074916b9,50,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1074c307c,46,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:80)
0x1074537f0,43,AppViewModel.hasSkillWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3587)
0x1074c2fe8,42,ContentView.sidebarWarning(for:) (in Agent Deck.debug.dylib) (ContentView.swift:78)
0x107486670,42,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x107486abd,42,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10744c938,41,AppViewModel.selectedAgent.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3344)
0x10738cb58,40,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10738acfc,40,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x107449258,39,AppViewModel.allDisplayAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3311)
0x10746ad9c,35,AppViewModel.assignedProjects(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4218)
0x1074539d0,34,AppViewModel.skillReferenceWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3617)
0x107937314,33,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
