address,count,symbol
0x1036bd774,4325,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1036bd820,4325,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x1037b7569,177,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1039482b9,164,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10393d438,152,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4843)
0x10393d885,152,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103842cfc,148,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x103844b58,146,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103c57a64,144,@objc DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103c579a4,139,DropSafeNSTextView.keyDown(with:) (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:433)
0x103843df4,86,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x10389e180,46,thunk for @escaping @callee_guaranteed @Sendable () -> () (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103ed254c,43,closure #1 in PiAgentSessionStore.saveNowAsync() (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1114)
0x103ed29d8,41,static PiAgentSessionStore.write(_:to:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1148)
0x10397c638,37,closure #1 in closure #1 in closure #1 in closure #2 in closure #1 in closure #1 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:112)
0x103c50ab8,37,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103dedf14,34,protocol witness for View.body.getter in conformance PiAgentSessionRow (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103c3da38,33,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
