address,count,symbol
0x103f6d774,3009,static agent_deckApp.$main() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x103f6d820,3002,__debug_main_executable_dylib_entry_point (in Agent Deck.debug.dylib) (agent_deckApp.swift:0)
0x104224ba8,76,ContentView.body.getter (in Agent Deck.debug.dylib) (ContentView.swift:60)
0x10425d4b8,76,protocol witness for View.body.getter in conformance ContentView (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1042259b0,47,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:83)
0x104067569,44,thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1041ee138,42,closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (AppViewModel.swift:4873)
0x1041ee585,42,partial apply for closure #2 in AppViewModel.refreshIfWatchedFilesChanged() (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1041f9181,42,partial apply for thunk for @escaping @isolated(any) @callee_guaranteed @async () -> (@out A) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1040f2cfc,39,static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:120)
0x1040f4b58,38,partial apply for closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x10414a8dc,35,AppViewModel.filteredAgents.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3319)
0x1041bb080,32,AppViewModel.explicitSkillVisibilityIssues(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:4233)
0x104151530,29,AppViewModel.projectPreference(for:) (in Agent Deck.debug.dylib) (AppViewModel.swift:549)
0x1040f3df4,28,closure #1 in static FileWatchFingerprint.make(urls:) (in Agent Deck.debug.dylib) (AppRefreshService.swift:129)
0x10422abe8,25,ContentView.sidebarWarningSnapshot.getter (in Agent Deck.debug.dylib) (ContentView.swift:75)
